Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,442,0,90,128.81654995701936,22.412584000448987,741.3520840000274,106.0,31.68090201216911,0.0,90,130,150,180,270,430,610,650,740,740,740
GET,/status,54,0,130,203.47223322222715,1.5460829999938142,748.5729590007395,442.962962962963,3.870517440400751,0.0,140,220,340,440,520,600,630,750,750,750,750
,Aggregated,496,0,92,136.94438644153794,1.5460829999938142,748.5729590007395,142.68548387096774,35.55141945256986,0.0,92,140,170,190,330,500,610,680,750,750,750
