Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/predict,429,0,31,57.123521979042856,23.925917000269692,337.5941659996897,106.0,35.924063626304026,0.0,31,40,49,56,130,250,300,300,340,340,340
GET,/status,50,0,3,40.6412950399681,1.8535839999458403,367.73229200025526,442.64,4.186953802599536,0.0,4,12,21,30,230,330,370,370,370,370,370
,Aggregated,479,0,30,55.403039000016264,1.8535839999458403,367.73229200025526,141.13987473903967,40.11101742890356,0.0,30,36,48,55,130,250,300,310,370,370,370
